"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30785","Visibility of Pickup Time in CabsPage","Google Chrome","Tue Jul 22 17:57:51 IST 2025","passed","Tue Jul 22 17:58:21 IST 2025","Cabs Test Cases","MakeMyTrip.spec.js","",""
"","17829","Sending the giftcard","Google Chrome","Tue Jul 22 17:58:08 IST 2025","passed","Tue Jul 22 17:58:26 IST 2025","Giftcard Test Cases","MakeMyTrip.spec.js","",""
"","30719","Booking cabs","Google Chrome","Tue Jul 22 17:57:51 IST 2025","passed","Tue Jul 22 17:58:22 IST 2025","Cabs Test Cases","MakeMyTrip.spec.js","",""
"","10862","Validating adults count","Google Chrome","Tue Jul 22 17:58:21 IST 2025","passed","Tue Jul 22 17:58:32 IST 2025","hotel test cases","MakeMyTrip.spec.js","",""
"","27277","Validating the Location","Google Chrome","Tue Jul 22 17:57:28 IST 2025","passed","Tue Jul 22 17:57:55 IST 2025","Basic Functionality","MakeMyTrip.spec.js","",""
"","9970","Checking adults selection in Hotels","Google Chrome","Tue Jul 22 17:58:22 IST 2025","passed","Tue Jul 22 17:58:32 IST 2025","hotel test cases","MakeMyTrip.spec.js","",""
"","17771","Validating available giftcards","Google Chrome","Tue Jul 22 17:58:07 IST 2025","passed","Tue Jul 22 17:58:25 IST 2025","Giftcard Test Cases","MakeMyTrip.spec.js","",""
"","44957","From and To Date","Google Chrome","Tue Jul 22 17:57:28 IST 2025","passed","Tue Jul 22 17:58:13 IST 2025","Cabs Test Cases","MakeMyTrip.spec.js","",""
"","12930","Check the hotel link is working","Google Chrome","Tue Jul 22 17:58:13 IST 2025","passed","Tue Jul 22 17:58:26 IST 2025","hotel test cases","MakeMyTrip.spec.js","",""
"","1645","sample","Google Chrome","Tue Jul 22 16:17:08 IST 2025","passed","Tue Jul 22 16:17:10 IST 2025","Basic Functionality","MakeMyTrip.spec.js","",""
"","13423","Check the options available in room","Google Chrome","Tue Jul 22 17:58:13 IST 2025","passed","Tue Jul 22 17:58:27 IST 2025","hotel test cases","MakeMyTrip.spec.js","",""
"","16382","Fetching festival giftcards","Google Chrome","Tue Jul 22 17:57:52 IST 2025","passed","Tue Jul 22 17:58:08 IST 2025","Giftcard Test Cases","MakeMyTrip.spec.js","",""
"","22790","Validating the elements on the div","Google Chrome","Tue Jul 22 17:57:28 IST 2025","passed","Tue Jul 22 17:57:50 IST 2025","Basic Functionality","MakeMyTrip.spec.js","",""
"","18499","URL validation","Google Chrome","Tue Jul 22 17:57:55 IST 2025","passed","Tue Jul 22 17:58:13 IST 2025","Giftcard Test Cases","MakeMyTrip.spec.js","",""
"","23729","Validating the CopyWright Symbol","Google Chrome","Tue Jul 22 17:57:28 IST 2025","passed","Tue Jul 22 17:57:51 IST 2025","Basic Functionality","MakeMyTrip.spec.js","",""
"","23902","LOGO Verification","Google Chrome","Tue Jul 22 17:57:28 IST 2025","passed","Tue Jul 22 17:57:52 IST 2025","Cabs Test Cases","MakeMyTrip.spec.js","",""
"","39589","Getting Link through Mobile","Google Chrome","Tue Jul 22 17:57:28 IST 2025","passed","Tue Jul 22 17:58:07 IST 2025","Basic Functionality","MakeMyTrip.spec.js","",""
