"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19229","URL validation","Google Chrome","Mon Jul 28 08:49:46 IST 2025","passed","Mon Jul 28 08:50:05 IST 2025","Giftcard Test Cases","MakeMyTrip.spec.js","",""
"","52571","Getting Link through Mobile","Google Chrome","Mon Jul 28 08:49:12 IST 2025","passed","Mon Jul 28 08:50:05 IST 2025","Basic Functionality","MakeMyTrip.spec.js","",""
"","33337","From and To City","Google Chrome","Mon Jul 28 08:49:13 IST 2025","passed","Mon Jul 28 08:49:46 IST 2025","Cabs Test Cases","MakeMyTrip.spec.js","",""
"","37158","Booking cabs","Google Chrome","Mon Jul 28 08:49:41 IST 2025","passed","Mon Jul 28 08:50:18 IST 2025","Cabs Test Cases","MakeMyTrip.spec.js","",""
"","27912","LOGO Verification","Google Chrome","Mon Jul 28 08:49:13 IST 2025","passed","Mon Jul 28 08:49:41 IST 2025","Cabs Test Cases","MakeMyTrip.spec.js","",""
"","26075","Check the options available in room & guests","Google Chrome","Mon Jul 28 08:50:05 IST 2025","passed","Mon Jul 28 08:50:31 IST 2025","hotel test cases","MakeMyTrip.spec.js","",""
"","19928","Fetching festival giftcards","Google Chrome","Mon Jul 28 08:49:45 IST 2025","passed","Mon Jul 28 08:50:05 IST 2025","Giftcard Test Cases","MakeMyTrip.spec.js","",""
"","18672","Checking adults selection in Hotels","Google Chrome","Mon Jul 28 08:50:18 IST 2025","passed","Mon Jul 28 08:50:37 IST 2025","hotel test cases","MakeMyTrip.spec.js","",""
"","26183","Sending the giftcard","Google Chrome","Mon Jul 28 08:50:05 IST 2025","passed","Mon Jul 28 08:50:31 IST 2025","Giftcard Test Cases","MakeMyTrip.spec.js","",""
"","32602","Validating the elements on the div","Google Chrome","Mon Jul 28 08:49:12 IST 2025","passed","Mon Jul 28 08:49:45 IST 2025","Basic Functionality","MakeMyTrip.spec.js","",""
"","24545","Validating the CopyWright Symbol","Google Chrome","Mon Jul 28 08:49:12 IST 2025","passed","Mon Jul 28 08:49:37 IST 2025","Basic Functionality","MakeMyTrip.spec.js","",""
"","27869","Validating available giftcards","Google Chrome","Mon Jul 28 08:50:02 IST 2025","passed","Mon Jul 28 08:50:30 IST 2025","Giftcard Test Cases","MakeMyTrip.spec.js","",""
"","28596","Check the hotel link is working","Google Chrome","Mon Jul 28 08:50:05 IST 2025","passed","Mon Jul 28 08:50:34 IST 2025","hotel test cases","MakeMyTrip.spec.js","",""
"","16815","Validating adults count","Google Chrome","Mon Jul 28 08:50:16 IST 2025","passed","Mon Jul 28 08:50:33 IST 2025","hotel test cases","MakeMyTrip.spec.js","",""
"","39060","Visibility of Pickup Time in CabsPage","Google Chrome","Mon Jul 28 08:49:37 IST 2025","passed","Mon Jul 28 08:50:16 IST 2025","Cabs Test Cases","MakeMyTrip.spec.js","",""
"","49464","Validating the Location","Google Chrome","Mon Jul 28 08:49:12 IST 2025","passed","Mon Jul 28 08:50:02 IST 2025","Basic Functionality","MakeMyTrip.spec.js","",""
